DATE,TLAACBW027SBOG
2001-10-31,6424.0957
2001-11-07,6398.986
2001-11-14,6438.4156
2001-11-21,6403.4277
2001-11-28,6367.8819
2001-12-05,6406.5948
2001-12-12,6408.4279
2001-12-19,6367.1019
2001-12-26,6394.1071
2002-01-02,6383.9917
2002-01-09,6399.5116
2002-01-16,6354.9777
2002-01-23,6397.0338
2002-01-30,6361.5644
2002-02-06,6374.1073
2002-02-13,6363.6
2002-02-20,6385.4589
2002-02-27,6365.5471
2002-03-06,6349.0971
2002-03-13,6328.1689
2002-03-20,6361.1567
2002-03-27,6370.31
2002-04-03,6377.1919
2002-04-10,6381.0461
2002-04-17,6380.0419
2002-04-24,6371.4307
2002-05-01,6395.1569
2002-05-08,6365.202
2002-05-15,6404.1636
2002-05-22,6410.1913
2002-05-29,6418.8344
2002-06-05,6410.9209
2002-06-12,6431.2479
2002-06-19,6440.9657
2002-06-26,6467.6254
2002-07-03,6416.0403
2002-07-10,6455.4028
2002-07-17,6460.042
2002-07-24,6521.7293
2002-07-31,6529.4108
2002-08-07,6538.0196
2002-08-14,6588.3122
2002-08-21,6598.993
2002-08-28,6593.5569
2002-09-04,6667.0145
2002-09-11,6598.7683
2002-09-18,6648.9018
2002-09-25,6654.1966
2002-10-02,6721.1247
2002-10-09,6705.0839
2002-10-16,6756.5312
2002-10-23,6746.1008
2002-10-30,6774.9559
2002-11-06,6809.356
2002-11-13,6861.3338
2002-11-20,6814.7453
2002-11-27,6862.601
2002-12-04,6845.323
2002-12-11,6942.4295
2002-12-18,6943.8745
2002-12-25,6982.5276
2003-01-01,6913.4408
2003-01-08,6910.0612
2003-01-15,6908.54
2003-01-22,6914.0547
2003-01-29,6898.3458
2003-02-05,6960.5366
2003-02-12,6965.725
2003-02-19,7009.9355
2003-02-26,7006.2721
2003-03-05,7067.6996
2003-03-12,7073.4445
2003-03-19,7043.2927
2003-03-26,7019.9493
2003-04-02,7061.8553
2003-04-09,7034.8402
2003-04-16,7063.3613
2003-04-23,7063.1822
2003-04-30,7142.2549
2003-05-07,7163.8958
2003-05-14,7201.9037
2003-05-21,7194.2933
2003-05-28,7228.065
2003-06-04,7246.6827
2003-06-11,7301.8348
2003-06-18,7253.0049
2003-06-25,7292.1824
2003-07-02,7337.6485
2003-07-09,7320.2169
2003-07-16,7300.7489
2003-07-23,7320.8623
2003-07-30,7312.8286
2003-08-06,7340.5586
2003-08-13,7324.3558
2003-08-20,7309.5507
2003-08-27,7260.6641
2003-09-03,7316.6876
2003-09-10,7274.8314
2003-09-17,7250.6821
2003-09-24,7205.1999
2003-10-01,7312.831
2003-10-08,7216.7057
2003-10-15,7280.7458
2003-10-22,7253.2221
2003-10-29,7236.8253
2003-11-05,7243.9713
2003-11-12,7308.1772
2003-11-19,7271.3386
2003-11-26,7284.7546
2003-12-03,7237.8497
2003-12-10,7275.1505
2003-12-17,7332.6043
2003-12-24,7345.0415
2003-12-31,7329.0539
2004-01-07,7351.4216
2004-01-14,7380.5132
2004-01-21,7411.8585
2004-01-28,7446.3957
2004-02-04,7457.7955
2004-02-11,7523.5303
2004-02-18,7602.7538
2004-02-25,7466.3042
2004-03-03,7498.7163
2004-03-10,7535.3479
2004-03-17,7555.3036
2004-03-24,7579.2019
2004-03-31,7599.9605
2004-04-07,7608.1282
2004-04-14,7653.9693
2004-04-21,7660.543
2004-04-28,7651.7675
2004-05-05,7641.0146
2004-05-12,7685.0263
2004-05-19,7662.3756
2004-05-26,7661.7191
2004-06-02,7684.9194
2004-06-09,7714.0199
2004-06-16,7726.7748
2004-06-23,7775.4834
2004-06-30,7789.8729
2004-07-07,7863.2958
2004-07-14,7855.6026
2004-07-21,7859.9015
2004-07-28,7838.2046
2004-08-04,7846.9996
2004-08-11,7878.0914
2004-08-18,7871.3029
2004-08-25,7873.9774
2004-09-01,7887.219
2004-09-08,7909.8946
2004-09-15,7967.215
2004-09-22,7977.6874
2004-09-29,7952.3369
2004-10-06,7928.9018
2004-10-13,7967.4448
2004-10-20,7985.6731
2004-10-27,7976.1865
2004-11-03,7983.8182
2004-11-10,8009.6099
2004-11-17,7952.7274
2004-11-24,8030.5807
2004-12-01,8043.6417
2004-12-08,8056.7417
2004-12-15,8056.3569
2004-12-22,8023.4552
2004-12-29,8009.9539
2005-01-05,8053.1238
2005-01-12,8068.9128
2005-01-19,8136.8423
2005-01-26,8091.955
2005-02-02,8141.7838
2005-02-09,8119.0708
2005-02-16,8125.2565
2005-02-23,8233.5783
2005-03-02,8230.7143
2005-03-09,8223.4372
2005-03-16,8295.4819
2005-03-23,8312.7475
2005-03-30,8280.7743
2005-04-06,8272.1272
2005-04-13,8295.9095
2005-04-20,8322.4017
2005-04-27,8312.096
2005-05-04,8314.9525
2005-05-11,8347.5029
2005-05-18,8366.8865
2005-05-25,8411.9512
2005-06-01,8450.6399
2005-06-08,8466.1733
2005-06-15,8394.2278
2005-06-22,8448.8866
2005-06-29,8417.864
2005-07-06,8443.9606
2005-07-13,8453.4538
2005-07-20,8496.067
2005-07-27,8487.1658
2005-08-03,8547.9015
2005-08-10,8532.8741
2005-08-17,8546.4365
2005-08-24,8602.5777
2005-08-31,8615.3136
2005-09-07,8595.172
2005-09-14,8611.6696
2005-09-21,8635.3162
2005-09-28,8651.5575
2005-10-05,8614.9833
2005-10-12,8680.9724
2005-10-19,8683.3651
2005-10-26,8678.5525
2005-11-02,8676.994
2005-11-09,8657.7127
2005-11-16,8685.787
2005-11-23,8722.4911
2005-11-30,8693.085
2005-12-07,8736.695
2005-12-14,8740.7827
2005-12-21,8801.4383
2005-12-28,8806.8213
2006-01-04,8828.6454
2006-01-11,8797.0338
2006-01-18,8845.6434
2006-01-25,8866.868
2006-02-01,8892.2067
2006-02-08,8871.1954
2006-02-15,8916.0273
2006-02-22,8920.1437
2006-03-01,8956.6986
2006-03-08,8932.7725
2006-03-15,8967.8964
2006-03-22,8983.0832
2006-03-29,9008.3916
2006-04-05,9035.3872
2006-04-12,9078.4951
2006-04-19,9097.5412
2006-04-26,9150.4972
2006-05-03,9168.1365
2006-05-10,9206.8421
2006-05-17,9215.8045
2006-05-24,9257.1971
2006-05-31,9263.69
2006-06-07,9231.4124
2006-06-14,9260.5447
2006-06-21,9257.3121
2006-06-28,9243.2258
2006-07-05,9265.9383
2006-07-12,9276.5213
2006-07-19,9336.9182
2006-07-26,9315.0892
2006-08-02,9311.4565
2006-08-09,9302.9805
2006-08-16,9322.2537
2006-08-23,9378.9686
2006-08-30,9356.8767
2006-09-06,9356.0834
2006-09-13,9335.7013
2006-09-20,9332.9081
2006-09-27,9368.8604
2006-10-04,9580.6517
2006-10-11,9631.1434
2006-10-18,9543.86
2006-10-25,9562.8196
2006-11-01,9613.0125
2006-11-08,9570.7975
2006-11-15,9595.0204
2006-11-22,9654.5845
2006-11-29,9684.6608
2006-12-06,9729.3115
2006-12-13,9702.325
2006-12-20,9760.5057
2006-12-27,9805.4204
2007-01-03,9832.0568
2007-01-10,9792.9717
2007-01-17,9829.8706
2007-01-24,9834.7291
2007-01-31,9862.4161
2007-02-07,9819.4431
2007-02-14,9866.7954
2007-02-21,9896.4903
2007-02-28,9962.9018
2007-03-07,9907.798
2007-03-14,9811.6719
2007-03-21,9793.3526
2007-03-28,9873.7574
2007-04-04,9911.2846
2007-04-11,9929.6205
2007-04-18,9937.887
2007-04-25,9968.1495
2007-05-02,9958.5676
2007-05-09,9979.9541
2007-05-16,9970.1515
2007-05-23,10011.0356
2007-05-30,10034.485
2007-06-06,10028.5576
2007-06-13,10038.8015
2007-06-20,10076.8612
2007-06-27,10093.4211
2007-07-04,10160.8417
2007-07-11,10144.9348
2007-07-18,10160.7643
2007-07-25,10201.4277
2007-08-01,10214.8538
2007-08-08,10218.113
2007-08-15,10325.1286
2007-08-22,10367.1215
2007-08-29,10383.0711
2007-09-05,10412.7003
2007-09-12,10487.5519
2007-09-19,10430.2582
2007-09-26,10511.9291
2007-10-03,10485.5233
2007-10-10,10556.9394
2007-10-17,10562.8884
2007-10-24,10654.5922
2007-10-31,10680.1939
2007-11-07,10705.3534
2007-11-14,10726.5353
2007-11-21,10782.1696
2007-11-28,10765.3129
2007-12-05,10802.1927
2007-12-12,10753.0268
2007-12-19,10821.1808
2007-12-26,10851.0407
2008-01-02,10900.736
2008-01-09,10890.5908
2008-01-16,10887.7966
2008-01-23,10992.7714
2008-01-30,10989.1909
2008-02-06,10967.9059
2008-02-13,10966.5527
2008-02-20,11006.1507
2008-02-27,11005.4316
2008-03-05,11033.8513
2008-03-12,11091.247
2008-03-19,11160.6064
2008-03-26,11153.7422
2008-04-02,11069.0329
2008-04-09,11055.9651
2008-04-16,11018.4594
2008-04-23,11072.5319
2008-04-30,11074.7161
2008-05-07,11019.0046
2008-05-14,10989.7617
2008-05-21,11050.5261
2008-05-28,11021.5802
2008-06-04,11006.251
2008-06-11,10979.4153
2008-06-18,11006.4346
2008-06-25,11015.0485
2008-07-02,11035.8329
2008-07-09,11028.8146
2008-07-16,11050.7942
2008-07-23,11013.6111
2008-07-30,11030.9325
2008-08-06,10988.7508
2008-08-13,11007.0047
2008-08-20,11021.5662
2008-08-27,11013.053
2008-09-03,11014.0206
2008-09-10,11002.5668
2008-09-17,11263.7934
2008-09-24,11286.7261
2008-10-01,11737.6603
2008-10-08,11788.4466
2008-10-15,11908.8166
2008-10-22,12021.4394
2008-10-29,12064.0956
2008-11-05,12007.185
2008-11-12,12091.2287
2008-11-19,12063.4415
2008-11-26,12097.8179
2008-12-03,12240.4809
2008-12-10,12350.4454
2008-12-17,12373.3814
2008-12-24,12365.7093
2008-12-31,12259.2732
2009-01-07,12281.3201
2009-01-14,12287.8243
2009-01-21,12279.5606
2009-01-28,12149.9108
2009-02-04,12052.5539
2009-02-11,12011.8491
2009-02-18,12056.1614
2009-02-25,12005.8001
2009-03-04,11985.6997
2009-03-11,12010.5642
2009-03-18,12056.9849
2009-03-25,12077.8303
2009-04-01,12070.2687
2009-04-08,12000.444
2009-04-15,12043.5633
2009-04-22,12051.488
2009-04-29,12068.6087
2009-05-06,12112.5068
2009-05-13,12102.4855
2009-05-20,12118.7526
2009-05-27,12044.6544
2009-06-03,12022.8864
2009-06-10,12029.4721
2009-06-17,11961.2081
2009-06-24,11945.8747
2009-07-01,11893.0088
2009-07-08,11909.1832
2009-07-15,11811.9892
2009-07-22,11793.9598
2009-07-29,11714.1805
2009-08-05,11676.7725
2009-08-12,11724.6486
2009-08-19,11759.7156
2009-08-26,11748.9734
2009-09-02,11713.2492
2009-09-09,11720.4695
2009-09-16,11704.2396
2009-09-23,11738.3528
2009-09-30,11583.9661
2009-10-07,11694.2131
2009-10-14,11749.318
2009-10-21,11793.2905
2009-10-28,11749.1446
2009-11-04,11770.8518
2009-11-11,11712.3645
2009-11-18,11740.1251
2009-11-25,11770.7842
2009-12-02,11760.792
2009-12-09,11745.773
2009-12-16,11742.3243
2009-12-23,11732.152
2009-12-30,11695.9709
2010-01-06,11665.1867
2010-01-13,11722.9159
2010-01-20,11671.7723
2010-01-27,11695.466
2010-02-03,11676.2187
2010-02-10,11718.7148
2010-02-17,11711.9665
2010-02-24,11704.779
2010-03-03,11671.8768
2010-03-10,11654.904
2010-03-17,11582.9806
2010-03-24,11564.1857
2010-03-31,11815.7728
2010-04-07,11881.157
2010-04-14,11840.048
2010-04-21,11822.3864
2010-04-28,11827.4169
2010-05-05,11811.532
2010-05-12,11824.0087
2010-05-19,11828.0919
2010-05-26,11784.46
2010-06-02,11700.5357
2010-06-09,11757.5877
2010-06-16,11695.2575
2010-06-23,11771.6609
2010-06-30,11677.4238
2010-07-07,11751.2609
2010-07-14,11764.5323
2010-07-21,11808.1965
2010-07-28,11806.0716
2010-08-04,11835.1741
2010-08-11,11856.0283
2010-08-18,11832.1062
2010-08-25,11845.835
2010-09-01,11811.9749
2010-09-08,11833.1207
2010-09-15,11751.9423
2010-09-22,11770.6318
2010-09-29,11778.526
2010-10-06,11870.3311
2010-10-13,11901.3319
2010-10-20,11915.7458
2010-10-27,11877.1654
2010-11-03,11870.6287
2010-11-10,11837.4409
2010-11-17,11815.6448
2010-11-24,11836.5405
2010-12-01,11827.0278
2010-12-08,11871.8073
2010-12-15,11775.6474
2010-12-22,11815.5591
2010-12-29,11806.4936
2011-01-05,11810.1075
2011-01-12,11873.2765
2011-01-19,11853.594
2011-01-26,11828.9757
2011-02-02,11806.58
2011-02-09,11882.4997
2011-02-16,11857.5263
2011-02-23,11933.9369
2011-03-02,11932.0283
2011-03-09,12032.6033
2011-03-16,11977.0685
2011-03-23,12042.625
2011-03-30,12135.68
2011-04-06,12198.2953
2011-04-13,12209.5649
2011-04-20,12192.735
2011-04-27,12179.9893
2011-05-04,12210.3493
2011-05-11,12236.6943
2011-05-18,12181.6594
2011-05-25,12247.6747
2011-06-01,12272.7901
2011-06-08,12330.7868
2011-06-15,12240.1955
2011-06-22,12338.9469
2011-06-29,12339.3186
2011-07-06,12301.7024
2011-07-13,12323.2448
2011-07-20,12302.4397
2011-07-27,12340.4466
2011-08-03,12365.4102
2011-08-10,12444.1133
2011-08-17,12437.8579
2011-08-24,12410.9278
2011-08-31,12395.7568
2011-09-07,12392.9808
2011-09-14,12453.8429
2011-09-21,12440.9561
2011-09-28,12488.45
2011-10-05,12530.949
2011-10-12,12475.6064
2011-10-19,12475.9789
2011-10-26,12489.998
2011-11-02,12450.0654
2011-11-09,12500.3798
2011-11-16,12485.0043
2011-11-23,12444.8217
2011-11-30,12453.0094
2011-12-07,12483.3277
2011-12-14,12558.1361
2011-12-21,12511.3299
2011-12-28,12598.4739
2012-01-04,12627.8738
2012-01-11,12581.476
2012-01-18,12535.7892
2012-01-25,12574.6324
2012-02-01,12687.118
2012-02-08,12687.0321
2012-02-15,12737.5886
2012-02-22,12650.6539
2012-02-29,12697.8004
2012-03-07,12656.8491
2012-03-14,12624.7808
2012-03-21,12599.9129
2012-03-28,12631.0868
2012-04-04,12679.6302
2012-04-11,12693.3669
2012-04-18,12657.9908
2012-04-25,12689.3606
2012-05-02,12699.17
2012-05-09,12716.2783
2012-05-16,12700.0743
2012-05-23,12720.0806
2012-05-30,12723.2781
2012-06-06,12753.7643
2012-06-13,12779.122
2012-06-20,12703.1578
2012-06-27,12742.1974
2012-07-04,12767.357
2012-07-11,12780.2123
2012-07-18,12781.1629
2012-07-25,12844.0734
2012-08-01,12822.8747
2012-08-08,12840.8568
2012-08-15,12827.9805
2012-08-22,12804.6018
2012-08-29,12838.6158
2012-09-05,12863.2499
2012-09-12,12834.5971
2012-09-19,12805.1182
2012-09-26,12844.8825
2012-10-03,12875.5606
2012-10-10,12839.4443
2012-10-17,12888.3933
2012-10-24,12803.032
2012-10-31,12913.4789
2012-11-07,12942.7521
2012-11-14,12987.1128
2012-11-21,12968.8293
2012-11-28,13024.9806
2012-12-05,13036.7839
2012-12-12,13055.5253
2012-12-19,13099.4856
2012-12-26,13196.234
2013-01-02,13239.1293
2013-01-09,13152.8912
2013-01-16,13177.8898
2013-01-23,13192.4799
2013-01-30,13279.1893
2013-02-06,13266.5787
2013-02-13,13266.1328
2013-02-20,13195.8191
2013-02-27,13276.4441
2013-03-06,13270.0813
2013-03-13,13316.982
2013-03-20,13287.3407
2013-03-27,13368.1568
2013-04-03,13396.1895
2013-04-10,13367.8373
2013-04-17,13402.827
2013-04-24,13331.4257
2013-05-01,13438.4494
2013-05-08,13415.1251
2013-05-15,13474.2641
2013-05-22,13485.6779
2013-05-29,13508.0627
2013-06-05,13524.6778
2013-06-12,13561.8444
2013-06-19,13499.0071
2013-06-26,13554.4802
2013-07-03,13557.0677
2013-07-10,13544.5631
2013-07-17,13611.835
2013-07-24,13570.9105
2013-07-31,13584.4861
